SEX,AGE,YEAR,CREDITS,MAJOR,STUDENT,TEXTBOOKS,SLEEP,STUDY,WEEKSTUDY,PARENTS,SUPER,BLUEARCH,WRECKINGBALL,TUITION,CROSSING,HEADPHONES,HALLWAY,EYECONTACT,BUS,WALKING,COMMUNICATION
F,19,S,15,1,In,300,5,2,14,W,N,N,N,15000,Y,S,Y,N,Y,R,W
F,20,J,15,2,In,300,5,1,7,M,Y,I,W,10400,D,Y,N,N,Y,I,D
F,19,S,14,0,In,300,5,6,42,O,Y,Y,N,8000,N,Y,N,N,Y,R,D
F,19,S,14,0,In,300,5,6,42,O,Y,Y,N,8000,N,Y,N,N,Y,R,D
F,19,S,14,0,In,300,5,3,21,M,Y,Y,N,12000,Y,S,Y,S,Y,R,D
M,20,J,14,1,In,300,5,2,14,M,N,I,N,5000,N,N,N,S,N,R,D
M,21,J,13,0,In,300,5,5,35,M,N,Y,N,16550,Y,Y,Y,S,Y,M,D
M,33,F,13,0,In,300,5,5,35,O,Y,I,N, ,Y,S,N,S,Y,I,D
F,19,F,13,0,O,300,5,1,7,O,Y,Y,N,16000,Y,N,Y,N,N,M,D
F,19,F,13,0,O,300,5,1,7,O,Y,Y,N,16000,Y,N,Y,N,N,M,D
F,21,J,12,3,In,300,5,6,42,O,N,N,N,18000,Y,Y,N,Y,Y,M,D
M,22,S,12,3,In,300,5,3,21,W,Y,Y,N,8000,N,Y,Y,S,N,I,W
M,22,J,12,2,In,300,5,3,21,O,N,Y,W,11000,Y,Y,N,S,N,I,D
M,22,J,12,3,In,300,5,1,7,Mo,N,N,Y,5000,N,Y,Y,S,N,M,Mo
M,22,S,14,1,In,280,5,2,14,W,N,N,N,16000,Y,Y,Y,Y,N,R,W
M,19,So,13,0,In,280,5,5,35,W,N,N,N,12000,Y,Y,Y,S,N,R,W
M,19,So,13,0,In,280,5,5,35,W,N,N,N,12000,Y,Y,Y,S,N,R,W
F,20,S,12,0,In,273,5,5,35,W,Y,I,N,5000,Y,Y,Y,Y,N,R,W
F,29,J,9,0,In,272,5,2,14,M,N,N,N,4792,Y,N,N,Y,N,R,D
F,22,J,16,3,In,270,5,2,14,M,N,Y,N,6000,Y,N,Y,N,N,R,D
F,19,S,15,0,In,250,5,1,7,W,N,N,W,7000,D,S,Y,S,N,I,W
F,19,S,14,1,O,250,5,3,21,W,Y,Y,N,23000,N,S,N,N,Y,R,W
F,20,J,14,1,In,250,5,0,0,W,Y,N,N,10000,Y,S,N,N,N,R,W
F,18,S,13,1,In,250,5,3,21,W,N,Y,N,22000,N,Y,N,N,N,M,W
M,20,S,12,1,In,250,5,3,21,M,N,N,N,10000,D,S,N,Y,Y,R,D
M,20,S,14,0,In,218,5,6,42,M,Y,Y,Y,11000,D,S,N,N,Y,R,D
M,20,J,12,3,In,215,5,3,21,N,Y,Y,Y,10000,N,Y,N,N,N,R,N
F,18,S,16,1,In,200,5,6,42,M,N,Y,N,21000,D,S,Y,S,N,R,D
F,21,J,16,3,In,200,5,4,28,Mo,N,I,N,6000,Y,Y,Y,Y,Y,I,Mo
M,20,J,16,0,In,200,5,1,7,O,Y,Y,N,5000,N,S,N,S,N,I,D
F,21,J,15,1,In,200,5,5,35,Mo,Y,Y,N,5000,Y,Y,N,S,N,R,Mo
F,21,J,15,0,In,200,5,4.5,31.5,M,Y,Y,N,6500,D,N,N,O,N,R,D
M,18,F,15,9,O,200,5,3,21,O,N,N,N,18000,N,N,Y,N,Y,L,D
M,21,J,15,1,O,200,5,3,21,W,N,I,N,18000,N,Y,N,N,Y,R,W
F,21,S,15,0,In,200,5,2,14,Mo,Y,Y,N,6000,Y,N,N,N,N,R,Mo
M,22,S,15,2,In,200,5,2,14,M,N,N,Y,5000,Y,Y,N,N,N,R,D
F,19,So,15,1,In,200,5,1,7,O,Y,Y,N,4500,Y,Y,Y,N,N,R,D
M,18,F,15,0,In,200,5,0,0,O,N,N,N,11000,Y,Y,Y,S,Y,R,D
F,20,So,14,3,In,200,5,5,35,Mo,Y,Y,N,2700,N,Y,Y,O,Y,L,Mo
M,21,J,14,3,O,200,5,4,28,M,Y,Y,Y,11000,Y,Y,Y,Y,Y,L,D
F,19,S,13,0,In,200,5,3,21,M,Y,Y,N,12000,N,S,Y,S,Y,R,D
F,19,So,13,1,In,200,5,1,7,M,Y,Y,N,5000,Y,S,Y,N,N,R,D
F,19,S,12,1,In,200,5,3,21,O,Y,N,N,19000,Y,Y,Y,Y,Y,M,D
F,20,J,12,3,In,200,5,2,14,O,Y,Y,N,10000,Y,Y,Y,S,N,R,D
F,22,S,12,2,O,200,5,2,14,M,N,N,N,6000,Y,Y,N,S,Y,R,D
F,29,J,9,0,In,200,5,3,21,M,N,N,N,6750,Y,S,N,S,N,R,D
F,29,J,9,0,In,200,5,3,21,M,N,N,N,6750,Y,S,N,S,N,R,D
F,20,J,15,0,O,190,5,3,21,O,Y,Y,N,10000,Y,S,Y,S,Y,R,D
M,19,So,15,1,O,180,5,1,7,W,N,N,N, ,Y,Y,N,N,Y,R,W
F,21,S,19,1,In,160,5,3,21,M,Y,Y,Y,21000,D,Y,Y,N,Y,R,D
M,19,F,14,0,In,160,5,2,14,M,Y,Y,N,4000,D,Y,N,N,N,M,D
M,19,S,16,1,In,150,5,3,21,W,N,N,N,14000,Y,S,N,Y,Y,L,W
F,20,J,16,1,In,150,5,3,21,W,Y,Y,N,6000,Y,Y,N,S,Y,R,W
M,18,F,15,0,In,150,5,2,14,W,Y,N,N,11500,N,Y,N,S,N,R,W
F,20,J,15,2,In,150,5,2,14,O,N,Y,N,10000,Y,S,N,N,Y,R,D
F,19,S,14,0,In,150,5,3,21,O,N,Y,Y,14000,Y,S,N,S,Y,R,D
M,22,S,14,1,In,150,5,3,21,O,N,N,N,12000,D,Y,N,S,N,R,D
M,22,S,14,1,In,150,5,3,21,O,N,N,N,12000,D,Y,N,S,N,R,D
M,18,S,14,0,In,150,5,2,14,M,Y,Y,N,5000,Y,Y,Y,Y,Y,R,D
