SEX,AGE,YEAR,CREDITS,MAJOR,STUDENT,TEXTBOOKS,SLEEP,STUDY,WEEKSTUDY,PARENTS,SUPER,BLUEARCH,WRECKINGBALL,TUITION,CROSSING,HEADPHONES,HALLWAY,EYECONTACT,BUS,WALKING,COMMUNICATION
F,19,So,14,0,O,600,12,8,56,W,N,N,N,6000,D,S,N,S,N,M,W
M,23,S,15,1,In,0,12,3,21,O,Y,Y,N, ,N,N,N,N,Y,R,D
F,20,S,15,2,In,300,11,3,21,O,Y,Y,N,20000,N,N,N,N,N,R,D
F,19,S,15,0,In,700,10,3,21,O,N,N,N,10000,Y,Y,N,N,Y,R,D
M,22,S,15,3,I,700,10,1,7,N,N,Y,Y,9000,N,N,Y,N,N,M,N
F,19,S,15,1,In,600,10,5.5,38.5,O,N,N,N,22500,Y,N,Y,S,N,R,D
F,19,S,12,0,In,600,10,3,21,O,Y,Y,N,15000,Y,Y,Y,S,Y,R,D
M,19,So,15,1,In,500,10,2,14,N,N,I,N,6000,D,Y,Y,S,Y,I,N
F,21,J,15,0,In,450,10,8,56,M,Y,Y,Y,140000,Y,N,N,Y,N,M,D
F,18,F,15,0,I,450,10,4,28,W,Y,I,W,5500,Y,S,Y,N,Y,R,W
M,19,So,12,1,In,426,10,4,28,Mo,N,I,N,6500,N,Y,Y,N,Y,R,Mo
F,18,S,16,0,In,400,10,1,7,M,N,Y,Y, ,Y,N,N,N,Y,R,D
F,18,F,15,0,I,350,10,2,14,W,N,N,N,10000,Y,N,N,Y,Y,I,W
F,18,F,15,1,In,300,10,3,21,O,Y,Y,Y,12000,Y,Y,N,S,N,R,D
F,18,F,15,1,In,300,10,3,21,O,Y,Y,Y,12000,Y,Y,N,S,N,R,D
F,18,F,15,0,In,300,10,2,14,W,N,Y,N,6000,N,Y,N,Y,Y,R,W
F,20,J,12,0,In,300,10,2,14,W,Y,Y,N,15000,Y,S,N,Y,N,L,W
F,20,So,14,3,In,263,10,2,14,W,N,Y,Y,9000,Y,S,N,N,Y,R,W
M,19,F,15,0,In,250,10,2,14,Mo,N,N,N,15000,Y,Y,Y,N,N,R,Mo
M,19,F,15,0,In,250,10,2,14,Mo,N,N,N,15000,Y,Y,Y,N,N,R,Mo
F,22,J,12,3,I,250,10,2,14,M,N,N,N,20000,D,Y,Y,N,Y,M,D
M,18,F,16,1,In,240,10,2,14,W,Y,Y,N,6000,Y,Y,N,Y,N,R,W
F,19,S,15,0,In,200,10,5,35,M,N,N,N,10000,Y,N,N,Y,Y,R,D
M,20,S,15,0,In,200,10,2,14,Mo,Y,Y,N,5000,N,Y,Y,N,N,R,Mo
M,19,S,14,9,In,200,10,2,14,W,N,Y,N,9000,Y,Y,N,Y,N,R,W
M,18,F,12,0,In,200,10,0,0,Mo,N,N,N,22000,D,Y,Y,N,Y,I,Mo
F,19,So,16,1,In,175,10,2,14,W,Y,Y,N,6000,Y,S,N,Y,Y,L,W
F,19,S,15,1,In,175,10,4,28,W,N,N,N,6000,Y,Y,N,S,Y,R,W
F,20,S,17,0,In,150,10,1,7,O,Y,Y,N,5000,Y,N,N,S,Y,R,D
M,19,S,13,3,In,150,10,2,14,O,Y,Y,N,11000,Y,Y,Y,N,Y,R,D
F,20,J,12,2,In,150,10,4,28,O,Y,I,N,5500,Y,Y,N,N,N,R,D
F,22,S,12,2,O,150,10,1,7,O,Y,Y,N,14000,Y,Y,N,S,Y,R,D
F,22,S,12,0,In,115,10,5,35,W,N,N,N,24000,Y,Y,N,S,Y,R,W
M,20,J,14,1,O,100,10,3,21,O,Y,Y,N,11000,Y,S,N,S,Y,L,D
F,18,F,13,1,O,100,10,6,42,N,N,N,N,4000,N,Y,N,S,Y,L,N
M,19,S,13,1,In,100,10,2,14,W,N,Y,N, ,Y,N,N,Y,Y,R,W
F,17,F,12,0,In,90,10,2,14,Mo,N,Y,N,20000,Y,Y,N,Y,N,R,Mo
F,17,F,12,0,In,90,10,2,14,Mo,N,Y,N,20000,Y,Y,N,Y,N,R,Mo
M,19,S,13,1,In, ,10,2,14,O,N,Y,Y,11000,N,Y,Y,N,Y,R,D
M,20,J,14,1,In,600,10,4,28,O,N,N,Y,10000,Y,N,Y,N,Y,L,D
F,19,S,12,0,In,600,10,3,21,O,Y,Y,N,15000,Y,S,Y,S,Y,R,D
M,20,J,16,0,In,300,10,2.5,17.5,W,Y,Y,Y,12861,Y,S,Y,N,Y,R,W
F,18,F,14,1,O,215,10,2.5,17.5,W,Y,Y,N,12000,D,N,Y,N,N,R,W
M,21,J,16,2,In,160,10,2,14,W,Y,Y,N,18000,D,S,N,N,Y,R,W
M,20,S,12,2,O,1300,9,2,14,W,N,Y,N,20000,Y,Y,Y,Y,Y,R,W
F,19,S,15,0,In,750,9,5,35,O,N,N,N,20000,Y,S,N,S,Y,R,D
F,19,S,13,0,In,708,9,1,7,O,N,Y,Y,15000,N,Y,N,N,Y,R,D
F,21,J,16,3,O,650,9,12,84,O,N,N,N,5500,D,Y,N,N,Y,I,D
F,18,F,15,0,O,630,9,1,7,O,Y,Y,N,6000,Y,N,N,N,N,I,D
F,20,J,16,1,In,600,9,3,21,O,N,Y,N,11000,Y,S,N,N,N,R,D
F,21,S,15,1,In,600,9,3,21,M,Y,Y,N,11000,Y,S,N,N,N,L,D
F,19,S,13,3,In,600,9,1,7,W,Y,Y,N,13000,Y,S,Y,S,Y,R,W
F,21,S,20,0,In,500,9,5,35,O,N,N,N,12000,Y,N,Y,S,N,R,D
F,20,J,18,2,In,500,9,5,35,M,Y,Y,N,12000,Y,Y,N,N,Y,R,D
F,19,S,16,0,In,500,9,3,21,O,Y,Y,N,24500,Y,N,N,S,Y,R,D
M,20,J,15,2,In,500,9,5,35,O,Y,Y,Y,6000,Y,Y,Y,N,Y,R,D
F,20,J,15,3,In,500,9,5,35,O,Y,Y,Y,24000,Y,S,N,S,Y,R,D
F,19,S,15,1,In,500,9,4,28,W,N,N,N,22000,Y,Y,Y,S,N,R,W
F,18,F,15,0,In,500,9,3,21,M,N,N,N,15000,Y,N,N,Y,N,R,D
F,19,S,15,1,In,500,9,3,21,O,Y,Y,N,11000,Y,N,N,S,Y,R,D
M,20,S,15,1,In,500,9,2,14,M,Y,Y,N,10000,Y,Y,N,N,Y,R,D
M,18,F,15,0,In,500,9,0,0,O,N,N,N,10000,N,N,Y,S,Y,R,D
F,20,J,18,1,O,490,9,5,35,O,Y,Y,Y,10000,Y,N,N,S,N,R,D
F,19,S,15,0,In,474,9,2,14,M,Y,Y,N,14000,Y,Y,Y,Y,N,R,D
M,20,G,15,1,In,470,9,4,28,Mo,N,N,N,10000,N,N,N,N,Y,R,Mo
M,20,J,14,2,In,470,9,4,28,W,N,Y,N,10000,N,Y,N,S,Y,R,W
F,19,So,15,1,In,450,9,6,42,O,N,Y,N,8000,Y,N,N,Y,N,R,D
F,19,S,15,0,In,450,9,3,21,M,Y,Y,N,22000,Y,S,N,S,Y,R,D
F,18,F,14,2,I,450,9,3,21,W,N,I,N,6000,Y,N,Y,S,N,R,W
F,21,S,12,2,O,450,9,1,7,W,Y,Y,N,15300,Y,Y,N,S,Y,R,W
F,20,J,15,0,In,430,9,9,63,W,N,N,N,7000,Y,Y,Y,S,Y,R,W
F,19,F,16,0,O,400,9,2,14,W,N,Y,N,17000,D,Y,N,S,Y,R,W
F,19,F,16,0,O,400,9,2,14,W,N,Y,N,17000,D,Y,N,S,Y,R,W
M,21,S,16,0,In,400,9,2,14,W,N,N,Y,8000,Y,Y,N,N,N,R,W
M,19,F,15,0,In,400,9,6,42,W,N,N,N,5681.5,N,N,N,N,Y,R,W
M,19,S,15,0,In,400,9,5,35,W,N,Y,N,20000,Y,Y,N,Y,N,L,W
M,19,S,15,0,In,400,9,5,35,W,N,Y,N,20000,Y,Y,N,Y,N,L,W
F,18,F,15,9,In,400,9,3,21,O,N,N,N,5000,D,Y,Y,S,Y,R,D
M,20,So,15,1,In,400,9,3,21,W,N,N,N,11000,N,N,N,Y,Y,M,W
M,20,So,15,1,In,400,9,3,21,O,Y,Y,N,10000,N,Y,Y,N,Y,R,D
F,21,J,15,0,In,400,9,3,21,Mo,Y,Y,N,5000,Y,S,Y,S,Y,I,Mo
M,19,S,15,1,In,400,9,2,14,M,Y,Y,N,12000,Y,Y,N,S,Y,R,D
F,19,S,15,0,In,400,9,2,14,W,N,Y,N,11000,Y,N,Y,N,N,R,W
M,19,So,15,0,In,400,9,2,14,W,Y,Y,N,7000,Y,Y,N,Y,N,R,W
F,20,S,15,1,In,400,9,2,14,W,N,N,Y,10000,N,Y,N,Y,N,R,W
M,21,J,15,0,In,400,9,2,14,O,Y,N,N,12000,Y,Y,Y,N,Y,R,D
F,18,S,14,1,In,400,9,3,21,W,N,N,W,5500,D,N,N,S,Y,R,W
M,20,J,13,2,O,400,9,5,35,Mo,Y,N,N,8000,Y,N,Y,Y,N,R,Mo
F,19,S,15,1,In,390,9,1,7,O,Y,N,N,12000,D,Y,Y,S,Y,R,D
M,18,F,14,0,In,380,9,2,14,M,N,Y,N,5000,Y,Y,Y,S,N,R,D
M,18,F,14,0,In,380,9,2,14,M,N,Y,N,5000,Y,Y,Y,S,N,R,D
M,20,J,13,0,In,380,9,8,56,Mo,N,N,N,8000,Y,S,N,N,Y,R,Mo
M,20,S,13,0,In,375,9,7,49,O,Y,Y,N,11000,Y,N,Y,N,Y,R,D
F,19,S,13,0,O,375,9,2.5,17.5,M,N,N,N,7500,Y,Y,Y,S,Y,R,D
F,20,J,15,0,In,365,9,4,28,W,Y,Y,N,21000,Y,Y,N,N,Y,R,W
F,19,F,17,1,In,350,9,4,28,W,Y,Y,N,11500,Y,N,Y,N,Y,R,W
F,19,J,15,1,In,350,9,3,21,M,N,I,N,6052,Y,S,N,S,Y,R,D
F,18,F,13,1,In,350,9,4,28,W,Y,I,N,5500,Y,N,Y,S,N,R,W
F,20,J,13,1,O,350,9,2,14,W,N,N,N,10000,Y,Y,N,Y,N,M,W
F,19,S,15,0,In,325,9,1,7,W,Y,N,W,19000,D,Y,Y,Y,N,I,W
F,18,F,15,0,In,310,9,3,21,O,Y,Y,N,13000,Y,N,Y,S,N,I,D
M,21,S,16,0,In,300,9,3,21,O,N,N,N,0,Y,Y,N,S,Y,R,D
F,18,F,16,1,In,300,9,2,14,M,Y,Y,N,23000,Y,Y,N,S,Y,R,D
F,18,F,15,1,In,300,9,5,35,M,N,I,N,12000,D,Y,Y,Y,N,I,D
F,23,S,15,0,In,300,9,5,35,Mo,Y,N,N,6000,Y,Y,N,N,N,R,Mo
M,20,J,15,3,O,300,9,3,21,O,Y,Y,Y,20000,D,N,N,S,Y,R,D
F,21,J,15,0,In,300,9,3,21,W,Y,Y,N,8500,Y,Y,N,N,Y,R,W
F,18,F,15,0,In,300,9,2,14,M,Y,Y,N,23000,N,N,N,N,Y,R,D
F,18,F,15,9,In,300,9,2,14,W,N,Y,N,23000,N,S,N,S,Y,R,W
M,18,F,15,1,In,300,9,2,14,W,N,N,N,12000,Y,Y,N,S,Y,R,W
M,18,F,15,0,In,300,9,2,14,M,N,N,N,20000,Y,Y,N,N,N,R,D
M,18,F,15,1,In,300,9,2,14,W,Y,Y,N,5000,N,S,Y,S,N,R,W
M,20,So,15,0,In,300,9,2,14,Mo,Y,N,N,10000,N,Y,N,S,Y,R,Mo
F,22,S,15,3,In,300,9,2,14,W,Y,Y,N,11000,Y,N,N,N,N,R,W
F,21,J,14,1,In,300,9,6,42,W,N,Y,Y,9000,N,S,N,O,Y,R,W
M,18,F,14,0,In,300,9,4,28,W,N,Y,N,12000,N,Y,Y,N,N,I,W
F,18,F,14,0,In,300,9,4,28,O,N,I,N,11000,Y,Y,N,N,N,L,D
M,22,S,13,0,In,300,9,2,14,W,Y,Y,Y, ,D,Y,Y,N,Y,M,W
F,21,S,12,1,In,300,9,4,28,W,N,Y,N,9000,N,S,N,S,Y,R,W
F,20,J,12,1,In,300,9,2,14,O,Y,Y,N,7000,Y,S,N,Y,N,M,D
M,19,So,13,0,O,280,9,3,21,Mo,N,Y,N,8000,N,S,Y,N,Y,R,Mo
F,18,F,15,0,In,275,9,2.5,17.5,W,N,Y,N,11890,Y,N,N,N,N,R,W
F,20,J,15,2,In,275,9,1,7,O,Y,Y,N,6500,Y,S,N,S,Y,L,D
F,33,G,3,9,In,275,9,1,7,W,N,N,N,1812,Y,N,Y,N,N,R,W
F,21,S,16,0,O,250,9,5,35,M,Y,Y,N,12000,Y,Y,N,S,Y,R,D
F,20,S,15,0,In,250,9,3,21,O,Y,N,N,12500,N,S,N,O,N,M,D
F,21,J,15,0,I,250,9,3,21,O,N,Y,N,4600,Y,S,Y,O,N,L,D
F,18,F,14,2,In,250,9,3,21,O,N,N,N,9500,D,Y,N,N,N,M,D
M,19,F,14,0,In,250,9,3,21,W,N,Y,N,2750,N,N,N,S,N,I,W
M,19,F,14,0,In,250,9,2,14,W,N,N,N,5500,N,N,Y,S,Y,R,W
F,19,So,12,0,In,250,9,2,14,O,N,N,N,10000,Y,N,N,Y,Y,R,D
F,19,S,12,1,In,250,9,2,14,M,N,N,N,1100,Y,N,N,N,N,R,D
M,19,F,16,0,In,225,9,1.5,10.5,W,Y,Y,N,1200,Y,N,Y,N,Y,R,W
M,19,F,12,1,In,220,9,2,14,W,N,N,N,20000,N,Y,N,N,N,R,W
M,19,F,12,1,In,220,9,2,14,W,N,N,N,20000,N,Y,N,N,N,R,W
F,19,S,15,0,In,215,9,3,21,M,Y,Y,N,20000,N,N,N,N,Y,R,D
F,18,F,15,0,In,210,9,4.5,31.5,M,Y,N,N,10000,Y,N,N,N,Y,R,D
M,20,S,16,0,In,200,9,3,21,M,N,N,N,22000,N,N,Y,N,Y,R,D
F,21,S,16,2,O,200,9,3,21,M,Y,Y,N,15000,Y,N,N,S,N,R,D
M,19,F,15,0,I,200,9,5,35,W,Y,Y,N,10000,Y,Y,N,Y,N,M,W
F,21,S,15,0,O,200,9,5,35,O,Y,Y,N,15000,Y,Y,Y,S,N,I,D
F,20,J,15,2,O,200,9,4,28,W,Y,Y,N,20000,Y,N,N,N,Y,R,W
M,20,So,15,1,In,200,9,4,28,M,Y,Y,N,7000,Y,Y,N,S,N,R,D
F,19,S,15,1,In,200,9,3,21,M,Y,Y,N,20000,Y,Y,N,S,Y,R,D
F,19,F,15,0,In,200,9,3,21,W,N,Y,N, ,Y,Y,N,Y,Y,R,W
F,20,S,15,0,In,200,9,2,14,W,N,N,N,6000,Y,Y,Y,N,Y,R,W
F,19,J,15,0,In,200,9, , ,W,Y,Y,N,12000,Y,N,Y,Y,Y,R,W
M,21,J,14,3,In,200,9,3,21,M,N,Y,N,20000,N,S,Y,S,Y,R,D
M,19,S,13,0,In,200,9,3,21,M,Y,Y,N, ,Y,S,Y,N,Y,R,D
F,19,S,13,9,In,200,9,3,21,W,Y,Y,N,15000,D,Y,Y,S,Y,R,W
M,20,S,13,0,In,200,9,1,7,M,N,N,Y,13000,Y,S,N,S,Y,M,D
F,20,J,12,2,In,200,9,2,14,W,Y,N,N,15000,D,Y,Y,Y,Y,I,W
F,18,F,15,0,In,190,9,1,7,O,N,I,N,12000,Y,N,N,Y,Y,L,D
M,20,J,12,1,.,180,9,4,28,W,N,N,N, ,D,Y,N,S,Y,R,W
F,24,S,12,3,In,180,9,3,21,O,Y,N,N,25000,D,N,N,S,Y,R,D
M,19,F,14,0,In,175,9,1,7,W,N,I,N,800,Y,Y,Y,Y,Y,R,W
M,19,So,12,2,In,170,9,1,7,W,N,N,N,10000,N,Y,N,Y,Y,R,W
M,19,F,15,2,O,160,9,3,21,O,N,Y,N,8000,N,N,N,N,N,R,D
F,21,S,15,0,In,160,9,2,14,M,Y,Y,Y,9000,Y,Y,Y,S,Y,R,D
M,21,J,14,1,In,160,9,1,7,O,Y,Y,N,6000,Y,S,N,S,N,R,D
F,19,So,15,3,In,150,9,4,28,W,N,Y,N,5000,D,N,Y,S,Y,R,W
M,21,S,15,1,In,150,9,4,28,W,N,Y,N,11000,N,N,N,N,Y,R,W
F,22,S,15,1,In,150,9,4,28,O,N,Y,N, ,N,Y,N,S,N,R,D
M,19,S,15,0,In,150,9,3,21,M,N,N,N,9500,N,N,Y,N,N,R,D
F,18,F,15,0,In,150,9,2,14,Mo,Y,Y,N,12000,N,N,N,S,Y,R,Mo
F,18,F,15,0,In,150,9,2,14,Mo,Y,Y,N,12000,N,N,N,S,Y,R,Mo
F,18,F,15,0,In,150,9,2,14,W,Y,Y,N,12000,N,N,N,N,.,R,W
F,18,F,15,0,In,150,9,2,14,W,Y,Y,N,12000,N,N,N,N,.,R,W
F,19,So,15,2,O,150,9,2,14,W,N,N,N,12000,Y,S,N,S,N,R,W
M,19,F,15,0,In,150,9,1,7,W,N,N,Y,10000,Y,Y,Y,N,N,R,W
M,19,F,15,0,In,150,9,1,7,W,N,N,Y,10000,Y,Y,Y,N,N,R,W
F,21,J,12,0,In,150,9,3,21,W,Y,Y,N,15000,Y,S,N,S,Y,R,W
M,20,So,10,0,In,150,9,3,21,W,N,N,W,12000,Y,Y,Y,O,Y,R,W
F,18,F,16,9,In,147,9,2,14,O,N,N,N,6000,N,S,N,N,Y,R,D
F,20,S,15,2,In,145,9,3,21,W,N,Y,N,4500,Y,Y,N,S,Y,R,W
M,19,So,15,2,In,140,9,3,21,O,Y,Y,N,5000,Y,Y,N,S,Y,R,D
F,20,J,16,1,In,135,9,3,21,W,Y,Y,Y,7000,D,S,N,N,Y,R,W
F,19,So,15,1,In,130,9,3,21,M,Y,Y,N,5763,Y,N,N,S,N,R,D
M,19,F,14,0,In,130,9,0,0,W,Y,Y,N,11000,N,Y,Y,S,N,I,W
F,20,So,15,2,In,120,9,3,21,Mo,N,Y,Y,5000,Y,Y,N,N,Y,R,Mo
M,18,F,15,0,In,120,9,2,14,M,Y,Y,N,6000,Y,Y,N,N,Y,R,D
M,19,F,14,0,In,120,9,2,14,W,N,Y,N,5000,N,N,Y,N,N,L,W
M,19,F,14,0,In,120,9,2,14,W,N,Y,N,5000,N,N,Y,N,N,L,W
F,19,J,15,0,In,110,9,1,7,O,Y,Y,N,6000,Y,N,N,S,Y,L,D
F,18,S,15,1,In,100,9,3,21,M,Y,Y,N,19000,Y,N,N,S,N,R,D
M,19,S,15,0,In,100,9,2,14,M,N,Y,N,24000,N,S,N,S,Y,M,D
F,19,J,15,0,In,100,9,2,14,W,Y,Y,N,6000,Y,N,N,Y,Y,R,W
F,20,J,15,0,In,100,9,2,14,W,N,N,N,5500,D,N,Y,N,Y,R,W
F,18,F,15,0,O,80,9,4,28,M,N,N,N, ,Y,N,Y,N,Y,R,D
F,20,J,15,0,In,80,9,1,7,O,N,Y,N, ,Y,Y,Y,S,Y,R,D
F,20,J,15,2,In,80,9,1,7,O,N,N,N,9000,D,S,N,N,N,R,D
F,19,F,14,0,In,80,9,4,28,M,Y,Y,N,20000,N,S,N,S,Y,R,D
F,19,J,15,0,In,70,9,2,14,W,Y,Y,Y,6500,Y,Y,N,N,Y,R,W
F,22,S,15,1,In,70,9,2,14,M,N,Y,N,5000,Y,S,N,N,Y,R,D
M,20,S,13,1,In,60,9,3,21,W,N,Y,N,1000000,Y,Y,N,N,Y,L,W
M,18,F,15,0,In,40,9,2,14,W,Y,N,N,6000,N,N,N,S,Y,M,W
F,20,J,15,0,In,0,9,0,0,W,Y,N,N,8000,Y,Y,N,Y,Y,R,W
F,21,S,15,0,In,0,9,0,0,O,Y,Y,N,6500,Y,N,N,S,Y,L,D
M,21,S,13,2,In,0,9,0,0,Mo,N,N,N,5500,Y,Y,N,N,Y,R,Mo
M,22,S,3,1,In,0,9,2,14,W,N,N,N, ,D,N,N,N,N,R,W
F,19,F,15,0,I, ,9,3,21,O,N,I,N,10000,Y,Y,N,N,Y,R,D
F,20,J,12,0,In,350,9,6,42,M,Y,Y,N,11500,Y,S,N,Y,Y,R,D
F,18,S,14,0,In,300,9,4,28,W,.,.,., ,.,.,.,.,.,.,W
M,19,F,14,0,I,300,9,3.5,24.5,W,Y,Y,N, ,Y,S,N,S,Y,R,W
F,20,So,14,1,In,275,9,4.5,31.5,W,Y,Y,N,19000,Y,N,N,N,Y,R,W
F,18,F,16,0,In,270,9,4,28,M,N,I,N,11000,Y,N,Y,S,Y,R,D
F,20,So,15,2,In,250,9,4,28,Mo,Y,Y,N,6750,Y,Y,Y,S,Y,I,Mo
F,19,S,15,0,In,200,9,6,42,W,Y,Y,N,10000,Y,N,Y,Y,Y,R,W
M,20,J,15,2,In,100,9,2,14,O,Y,Y,Y,10000,Y,Y,N,Y,Y,I,D
F,19,S,12,0,In,1200,8,4,28,O,N,Y,N,5000,Y,N,Y,S,N,R,D
M,19,F,14,0,In,800,8,1,7,W,Y,Y,N,20000,N,N,N,Y,N,L,W
F,21,J,16,0,In,700,8,8,56,O,N,N,N,5500,N,N,N,Y,Y,M,D
F,20,S,15,1,In,700,8,3,21,O,Y,Y,Y, ,D,N,N,S,N,R,D
M,21,J,14,0,I,700,8,4,28,M,Y,Y,N,0,Y,N,N,O,Y,R,D
F,21,J,12,2,In,632,8,5,35,O,Y,.,N,16000,Y,Y,N,S,Y,R,D
M,20,S,14,2,In,625,8,3,21,W,N,I,N,12000,N,S,N,N,Y,I,W
F,18,F,16,0,In,600,8,5,35,O,N,N,N,10000,Y,N,N,Y,N,R,D
F,19,So,16,3,In,600,8,3,21,O,Y,Y,N,20000,Y,N,Y,S,N,R,D
F,18,J,16,0,In,600,8,1,7,W,Y,I,W,10000,Y,Y,Y,Y,N,R,W
F,20,S,15,1,In,600,8,2,14,W,Y,Y,N,16000,Y,Y,N,N,Y,L,W
M,20,J,14,1,In,600,8,8,56,W,Y,N,N,19000,N,S,N,N,Y,R,W
F,22,S,14,2,In,600,8,6,42,O,Y,Y,N,10000,Y,N,N,S,Y,L,D
F,19,S,14,0,In,600,8,5,35,W,N,Y,N,6000,Y,N,N,N,Y,R,W
M,19,S,14,1,In,600,8,3,21,W,Y,Y,N,21000,Y,N,N,S,N,R,W
F,18,F,12,0,In,560,8,1,7,M,N,I,N,10000,Y,N,N,Y,Y,R,D
F,19,S,15,0,In,550,8,2,14,M,Y,Y,N,11000,Y,N,N,N,Y,R,D
F,18,F,14,0,In,550,8,3,21,W,Y,I,N,5000,Y,Y,N,S,N,M,W
F,20,S,13,1,In,550,8,3,21,W,Y,I,N,18000,Y,N,N,S,N,R,W
M,20,J,12,0,In,550,8,5,35,M,N,Y,N,3550,N,S,N,S,N,M,D
F,19,S,14,0,In,520,8,2,14,O,N,N,N,7500,Y,Y,N,N,N,R,D
F,20,J,17,3,In,500,8,8,56,M,Y,Y,N,5000,D,S,Y,S,Y,R,D
F,18,F,16,0,In,500,8,3,21,W,N,N,N,80000,Y,N,N,S,Y,R,W
M,21,J,15,1,In,500,8,9,63,W,Y,Y,N,5000,N,Y,Y,N,N,I,W
F,18,F,15,0,In,500,8,6,42,W,N,Y,W,25000,Y,N,N,Y,.,R,W
F,18,F,15,0,In,500,8,6,42,W,N,Y,W,25000,Y,N,N,Y,.,R,W
F,20,J,15,3,In,500,8,6,42,Mo,Y,Y,N,5000,Y,Y,N,S,Y,R,Mo
F,18,F,15,0,In,500,8,5,35,M,Y,N,W,20000,Y,Y,N,N,Y,I,D
F,19,So,15,3,In,500,8,5,35,W,Y,Y,N,20000,Y,Y,N,S,N,R,W
M,20,J,15,0,In,500,8,5,35,W,N,Y,N,20000,Y,Y,N,Y,N,R,W
M,20,J,15,0,In,500,8,5,35,W,N,Y,N,20000,Y,Y,N,Y,N,R,W
M,21,S,15,2,O,500,8,5,35,W,N,N,N,5000,D,N,N,N,Y,I,W
F,23,G,15,1,In,500,8,5,35,W,N,N,Y,7000,Y,Y,N,S,Y,R,W
F,18,F,15,0,In,500,8,3,21,M,N,Y,N,11000,D,S,N,S,Y,R,D
M,18,F,15,0,In,500,8,3,21,W,Y,Y,N,10000,Y,Y,N,S,Y,R,W
F,19,F,15,1,In,500,8,2,14,M,Y,N,N,5760,Y,S,.,Y,Y,L,D
M,19,S,15,1,In,500,8,2,14,W,N,N,N,21000,N,S,N,N,Y,R,W
F,19,So,15,2,In,500,8,2,14,W,Y,Y,N,11000,Y,S,N,S,N,R,W
F,20,J,15,3,In,500,8,2,14,O,N,Y,N,21000,Y,Y,N,N,Y,R,D
M,20,S,15,9,In,500,8,2,14,W,N,N,N,6500,Y,N,Y,S,Y,R,W
F,21,S,14,1,In,500,8,3,21,W,N,N,Y,10000,Y,S,Y,N,Y,I,W
F,20,So,13,1,In,500,8,6,42,O,N,N,N,5000,N,N,N,Y,Y,M,D
M,21,S,13,0,In,500,8,5,35,W,Y,N,N,11000,Y,Y,N,N,N,R,W
F,19,S,13,1,In,500,8,2,14,O,N,N,N,20000,Y,S,N,S,Y,R,D
F,22,J,12,1,In,500,8,5,35,W,N,N,N,6000,Y,S,Y,S,Y,R,W
F,25,J,12,0,O,500,8,5,35,W,Y,N,N,11000,Y,Y,Y,N,Y,R,W
M,23,So,12,1,In,500,8,3,21,W,N,N,W,10000,Y,S,N,O,Y,I,W
F,20,J,12,2,In,500,8,2,14,W,Y,Y,N, ,Y,Y,N,N,Y,R,W
M,19,So,12,1,In,500,8,0,0,O,N,N,N,300,N,S,.,N,Y,R,D
F,20,J, ,0,In,500,8,3,21,M,Y,Y,N, ,Y,S,N,N,Y,R,D
F,18,S,15,0,In,497,8,2,14,O,N,Y,N,14000,D,Y,N,Y,N,R,D
F,19,S,15,0,In,475,8,6,42,O,N,N,N,11000,Y,S,Y,S,Y,R,D
M,19,F,15,9,I,460,8,3,21,W,N,Y,N,6000,D,S,N,S,N,R,W
M,18,F,14,9,In,460,8,1,7,M,Y,I,N,8000,Y,N,Y,Y,N,R,D
F,18,F,15,0,In,450,8,5,35,M,N,N,N,23000,D,S,Y,S,N,R,D
M,19,S,15,9,In,450,8,3,21,W,N,Y,Y,11000,Y,S,N,N,N,R,W
M,19,S,15,0,In,450,8,3,21,W,N,N,N,11000,D,N,N,S,N,R,W
F,20,J,15,2,In,450,8,3,21,W,N,N,N,15500,D,Y,N,Y,Y,R,W
F,18,F,15,0,In,450,8,2.5,17.5,M,N,I,N,6000,N,N,Y,N,N,I,D
F,20,J,14,1,In,450,8,4,28,M,Y,Y,N,20000,Y,N,Y,N,Y,R,D
F,19,S,14,9,O,450,8,3,21,M,Y,Y,N,24000,Y,Y,Y,S,Y,R,D
F,18,F,14,0,In,450,8,2.5,17.5,O,N,N,N,5500,Y,S,Y,N,Y,R,D
M,20,J,13,1,In,450,8,6,42,W,Y,Y,N,12000,N,Y,N,S,Y,I,W
F,18,F,13,0,In,450,8,3,21,M,Y,I,W,7000,Y,Y,N,Y,N,R,D
F,19,S,15,1,In,440,8,3,21,W,N,Y,N,19000,D,Y,Y,S,Y,R,W
F,18,S,14,0,In,440,8,4,28,O,.,I,., ,Y,N,N,Y,Y,M,D
F,18,F,15,9,In,437,8,2,14,W,N,N,N,12000,Y,S,N,S,N,R,W
F,19,S,13,2,In,427,8,3,21,M,N,N,N,23000,D,Y,N,S,Y,R,D
F,18,F,16,1,In,423,8,5,35,O,Y,Y,N,8035,Y,N,N,Y,N,R,D
F,19,S,15,0,In,420,8,6,42,W,N,N,N,8000,N,Y,Y,O,Y,R,W
F,18,F,15,0,In,420,8,4,28,W,Y,N,N,20000,D,S,N,N,Y,R,W
M,19,S,15,0,In,420,8,2,14,W,Y,Y,Y,20000,D,N,N,S,Y,R,W
F,19,S,15,1,In,415,8,4,28,O,Y,Y,N,20000,Y,N,Y,S,N,R,D
M,19,F,15,0,In,415,8,2,14,W,N,N,N,19000,Y,Y,Y,S,N,R,W
M,19,So,16,0,In,410,8,6,42,W,N,N,N,10000,Y,N,N,O,Y,R,W
